,subjects,preprocessed,statement,bidirectional_statement
2617,The climate hasnt warmed in quite a few years. That is proven scientifically.,"['climate', 'warmed', 'quite', 'year', 'proven', 'scientifically']",false,false
2618,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,"['say', 'bruce', 'springsteen', 'played', 'seton', 'hall', 'university', 'south', 'orange', 'walsh', 'gym']",true,true
2619,"In the fall of 2009, only 21 percent of Texas high school graduates enrolled in a four-year public university.","['fall', 'percent', 'texas', 'high', 'school', 'graduate', 'enrolled', 'year', 'public', 'university']",half-true,true
2620,A North Carolina study proves that probably over a million people voted twice in (the 2012) election.,"['north', 'carolina', 'study', 'prof', 'probably', 'million', 'people', 'voted', 'twice', 'election']",false,false
2621,Tarpon Springs takes its homeless to St. Petersburg.,"['tarpon', 'spring', 'take', 'homeless', 'st', 'petersburg']",false,false
2622,The overall fact about illegal immigration is that its not actually getting worse.,"['overall', 'fact', 'illegal', 'immigration', 'actually', 'getting', 'worse']",true,true
2623,Says Hillary Clinton has been in office and in government longer than anybody else running here tonight.,"['say', 'hillary', 'clinton', 'office', 'government', 'longer', 'anybody', 'running', 'tonight']",barely-true,false
2624,More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.,"['people', 'apprehended', 'illegally', 'crossing', 'mexico', 'border', 'week', 'born', 'texas', 'week']",true,true
2625,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product.","['year', 'world', 'war', 'ii', 'steady', 'reduction', 'debt', 'percentage', 'gross', 'domestic', 'product']",true,true
2626,"While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.","['working', 'street', 'watching', 'folk', 'job', 'shift', 'overseas', 'corporate', 'lawyer', 'sitting', 'board', 'wal', 'mart']",true,true
2627,The United States sends $300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.,"['united', 'state', 'sends', 'billion', 'half', 'trade', 'deficit', 'overseas', 'oil', 'unstable', 'unfriendly', 'regime']",half-true,true
2628,Our population has grown from about 1 million in the 1970s to almost 7 million today.,"['population', 'grown', 'million', 'million', 'today']",half-true,true
2629,Says its estimated that 300 babies a year are sent home from the hospital with an unrecognized congenital heart defect; it is the most common birth defect in America.,"['say', 'estimated', 'baby', 'year', 'sent', 'home', 'hospital', 'unrecognized', 'congenital', 'heart', 'defect', 'common', 'birth', 'defect', 'america']",mostly-true,true
2630,"Since President Obama took office, gas prices have gone up 67 percent.","['president', 'obama', 'took', 'office', 'gas', 'price', 'gone', 'percent']",half-true,true
2631,Rick Scott tried to slash school funding by $3.3 billion.,"['rick', 'scott', 'tried', 'slash', 'school', 'funding', 'billion']",mostly-true,true
2632,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.,"['health', 'care', 'reform', 'make', 'mandatory', 'absolutely', 'require', 'year', 'people', 'medicare', 'required', 'counseling', 'session', 'tell', 'end', 'life', 'sooner']",pants-fire,false
2633,"Before Act 10, the total cost of public sector employees employment was 29 percent higher than that in the private sector. After the act, its still 22 percent higher.","['act', 'total', 'cost', 'public', 'sector', 'employee', 'employment', 'percent', 'higher', 'private', 'sector', 'act', 'percent', 'higher']",barely-true,false
2634,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.","['president', 'franklin', 'roosevelt', 'started', 'social', 'security', 'affected', 'widow', 'orphan', 'medicare', 'began', 'small', 'program']",false,false
2635,The deficit was on track to top $1 trillion the year I took office.,"['deficit', 'track', 'trillion', 'year', 'took', 'office']",true,true
2636,We paid down the debt for four years -- paid down $600 billion on the national debt.,"['paid', 'debt', 'year', 'paid', 'billion', 'national', 'debt']",half-true,true
2637,A vast majority of the production in the United States comes from small independent oil and gas companies.,"['vast', 'majority', 'production', 'united', 'state', 'come', 'small', 'independent', 'oil', 'gas', 'company']",half-true,true
2638,"As part of legislative fights over abortion rights,Mike Coffman co-sponsored a bill to redefine rape.","['legislative', 'fight', 'abortion', 'right', 'mike', 'coffman', 'sponsored', 'redefine', 'rape']",mostly-true,true
2639,"An Army report stated Allen West performed illegal acts, merited court martial, faced 11 years in prison.","['army', 'report', 'stated', 'allen', 'west', 'performed', 'illegal', 'act', 'merited', 'court', 'martial', 'faced', 'year', 'prison']",half-true,true
2640,"Says each year approximately 30,000 people in the United States die as a result of gunfire, and about 80,000 people are wounded.","['say', 'year', 'approximately', 'people', 'united', 'state', 'die', 'result', 'gunfire', 'people', 'wounded']",mostly-true,true
2641,"In this city, there hasnt been a stadium thats lasted more than 27 years.","['city', 'stadium', 'thats', 'lasted', 'year']",half-true,true
2642,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history.","['served', 'governor', 'schwarzenegger', 'preserved', 'land', 'gubernatorial', 'administration', 'california', 'history']",mostly-true,true
2643,"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. Thats significantly higher than alcohol.","['people', 'driving', 'influence', 'drug', 'driving', 'influence', 'alcohol', 'recent', 'roadside', 'survey', 'showed', 'percent', 'people', 'tested', 'tested', 'positive', 'illicit', 'licit', 'drug', 'thats', 'significantly', 'higher', 'alcohol']",half-true,true
2644,"Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.","['say', 'florida', 'rep', 'corrine', 'brown', 'alcee', 'hastings', 'frederica', 'wilson', 'socialist']",pants-fire,false
2645,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.,"['rep', 'peter', 'petrarca', 'voted', 'piece', 'legislation', 'helped', 'auto', 'body', 'shop', 'point', 'think', 'conflict']",mostly-true,true
2646,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,"['say', 'hillary', 'clinton', 'refuse', 'testify', 'congress', 'attack', 'benghazi']",false,false
2647,Commerce Secretary nominee John Bryson appears to endorse world government.,"['commerce', 'secretary', 'nominee', 'john', 'bryson', 'appears', 'endorse', 'world', 'government']",false,false
2648,"Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore.""","['obama', 'say', 'mccain', 'went', 'bermuda', 'pledged', 'protect', 'tax', 'break', 'american', 'corporation', 'hide', 'profit', 'offshore']",mostly-true,true
2649,Says Texas is last in mental health expenditures.,"['say', 'texas', 'mental', 'health', 'expenditure']",mostly-true,true
2650,Says Rob Portman even voted to allow people on the terrorism watch list to buy guns.,"['say', 'rob', 'portman', 'voted', 'allow', 'people', 'terrorism', 'watch', 'list', 'buy', 'gun']",false,false
2651,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.,"['say', 'obama', 'administration', 'fulfilled', 'texas', 'request', 'management', 'assisting', 'grant']",mostly-true,true
2652,Says federal debt doubled during the Bush administration.,"['say', 'federal', 'debt', 'doubled', 'bush', 'administration']",mostly-true,true
2653,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.","['administration', 'raise', 'revenue', 'nationalized', 'health', 'care', 'series', 'new', 'tax', 'including', 'light', 'switch', 'tax', 'cost', 'american', 'household', 'year']",pants-fire,false
2654,Offshore wind power is significantly less expensive than solar energy.,"['offshore', 'wind', 'power', 'significantly', 'expensive', 'solar', 'energy']",mostly-true,true
2655,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,"['constitution', 'simply', 'authorize', 'federal', 'government', 'land', 'western', 'state']",pants-fire,false
2656,"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.","['say', 'cost', 'texas', 'special', 'legislative', 'session', 'pay', 'million', 'condom', 'month', 'pill', 'time', 'sexual', 'health', 'educator']",mostly-true,true
2657,"(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag.","['deborah', 'ross', 'defends', 'want', 'burn', 'american', 'flag', 'called', 'effort', 'ban', 'flag', 'burning', 'ridiculous', 'refused', 'help', 'disabled', 'veteran', 'fly', 'flag']",mostly-true,true
2658,Texas agriculture is at 98 percent efficiency in water use and just about maxed out as to what we can do on the conservation end of it.,"['texas', 'agriculture', 'percent', 'efficiency', 'water', 'use', 'maxed', 'conservation', 'end']",half-true,true
2659,An estimated 56 million Americans don't have bank accounts.,"['estimated', 'million', 'american', 'bank', 'account']",mostly-true,true
2660,Our president has labeled Americans as soft.,"['president', 'labeled', 'american', 'soft']",half-true,true
2661,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,"['isi', 'leader', 'abu', 'bakr', 'al', 'baghdadi', 'released', 'obama']",false,false
2662,The NRA used to support expanded background checks.,"['nra', 'used', 'support', 'expanded', 'background', 'check']",true,true
2663,Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.,"['going', 'public', 'financing', 'really', 'disadvantage', 'democrat', 'able', 'raise', 'fund', 'day', 'win', 'primary', 'time', 'officially', 'nominated']",half-true,true
2664,"[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties.","['mployment', 'gwinnett', 'percent', 'year', 'unemployment', 'lowest', 'core', 'metro', 'county']",mostly-true,true
2665,The average minimum wage worker is 35 years old.,"['average', 'minimum', 'wage', 'worker', 'year', 'old']",barely-true,false
2666,Ive been outspent by my opponents every time Ive run for U.S. Senate.,"['ive', 'outspent', 'opponent', 'time', 'ive', 'run', 'senate']",pants-fire,false
2667,"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party.","['history', 'republican', 'primary', 'ive', 'gotten', 'vote', 'history', 'republican', 'party']",false,false
2668,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.","['massachusetts', 'supreme', 'court', 'defined', 'marriage', 'simply', 'quote', 'establishment', 'intimacy', 'guess', 'mean', 'really', 'affection', 'horse', 'guess', 'marry', 'horse']",pants-fire,false
2669,"The federal health care plan ""costs Texas taxpayers $2.4 billion per year.""","['federal', 'health', 'care', 'plan', 'cost', 'texas', 'taxpayer', 'billion', 'year']",barely-true,false
2670,"When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were skyrocketing.","['new', 'hampshire', 'legislature', 'raised', 'gasoline', 'tax', 'gas', 'price', 'state', 'skyrocketing']",false,false
2671,Social Security didnt cause the debt crisis. Social Security had nothing to do with the debt crisis.,"['social', 'security', 'didnt', 'cause', 'debt', 'crisis', 'social', 'security', 'debt', 'crisis']",mostly-true,true
2672,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,"['say', 'house', 'representative', 'weve', 'bipartisan', 'support', 'repeal', 'obamacare', 'getting', 'rid', 'cap', 'trade', 'building', 'keystone', 'pipeline']",true,true
2673,"We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.","['spend', 'billion', 'afghanistan', 'year', 'fixing', 'road', 'building', 'bridge', 'training', 'police', 'officer', 'cutting', 'thing', 'country']",false,false
2674,The war in Iraq was a major factor in blowing the top off the price of oil.,"['war', 'iraq', 'major', 'factor', 'blowing', 'price', 'oil']",barely-true,false
2675,This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.,"['type', 'mass', 'violence', 'happen', 'advanced', 'country', 'doesnt', 'happen', 'place', 'kind', 'frequency']",barely-true,false
2676,Says Mitt Romney did not pay taxes for 10 years.,"['say', 'mitt', 'romney', 'pay', 'tax', 'year']",pants-fire,false
2677,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""","['massive', 'federal', 'computer', 'network', 'make', 'medical', 'record', 'available', 'million', 'people', 'complete', 'lack', 'privacy', 'confidentiality', 'doctor', 'hospital', 'face', 'stiff', 'penalty']",barely-true,false
2678,Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.,"['wrong', 'precinct', 'rule', 'exacerbate', 'provisional', 'ballot', 'problem', 'hb', 'solve', 'wrong', 'precinct', 'problem']",true,true
2679,Says Donald Trump used undocumented labor to build the Trump Tower.,"['say', 'donald', 'trump', 'used', 'undocumented', 'labor', 'build', 'trump', 'tower']",true,true
2680,Says Gov. Scott Walker has been rated Americas most factually-challenged politician.,"['say', 'gov', 'scott', 'walker', 'rated', 'america', 'factually', 'challenged', 'politician']",pants-fire,false
2681,Sharron Angle would eliminate the Department of Education.,"['sharron', 'angle', 'eliminate', 'department', 'education']",true,true
2682,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,"['illegal', 'immigrant', 'gain', 'admission', 'public', 'college', 'take', 'class', 'space', 'away', 'student', 'legal', 'resident']",mostly-true,true
2683,On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,"['bps', 'billion', 'fund', 'compensate', 'oil', 'spill', 'victim', 'slush', 'fund']",false,false
2684,On in-state tuition for illegal immigrants.,"['state', 'tuition', 'illegal', 'immigrant']",false,false
2685,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,"['say', 'jacky', 'rosen', 'refused', 'tell', 'support', 'bernie', 'sander', 'hillary', 'clinton']",pants-fire,false
2686,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,"['economic', 'indicator', 'federal', 'government', 'track', 'time', 'august', 'positive', 'october']",true,true
2687,Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.,"['medicare', 'billion', 'worth', 'fraud', 'year', 'percent', 'dollar', 'spent', 'medicare', 'go', 'fraud']",half-true,true
2688,"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.","['slashing', 'billion', 'social', 'security', 'rep', 'jim', 'renacci', 'end', 'forcing', 'entire', 'agency', 'shut', 'month', 'causing', 'senior', 'benefit', 'time', 'halting', 'claim', 'processing', 'forcing', 'new', 'retiree', 'disabled', 'worker', 'backlog']",barely-true,false
2689,"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine.","['say', 'sen', 'nelson', 'voted', 'spend', 'monkey', 'react', 'influence', 'cocaine']",barely-true,false
2690,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,"['old', 'annual', 'deficit', 'republican', 'monthly', 'deficit', 'democrat']",false,false
2691,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,"['say', 'president', 'reagan', 'second', 'inaugural', 'moved', 'inside', 'capitol', 'terrible', 'snowstorm']",mostly-true,true
2692,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.","['say', 'poll', 'show', 'attached', 'democrat', 'point', 'gov', 'john', 'kasich']",true,true
2693,There were more people at the Air and Space Museum than at a rally against the health care bills.,"['people', 'air', 'space', 'museum', 'rally', 'health', 'care', 'bill']",half-true,true
2694,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,"['people', 'ethical', 'treatment', 'animal', 'estimate', 'animal', 'spared', 'annually', 'result', 'president', 'clinton', 'adopting', 'vegan', 'diet']",half-true,true
2695,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,"['say', 'texas', 'bail', 'loan', 'program', 'oversaw', 'state', 'agriculture', 'commissioner']",pants-fire,false
2696,We spend almost twice as much per capita on health care as do the people of any other country.,"['spend', 'twice', 'caput', 'health', 'care', 'people', 'country']",false,false
2697,On repealing the 17th Amendment,"['repealing', 'amendment']",false,false
2698,"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.","['say', 'bruce', 'starr', 'voted', 'throw', 'oregonian', 'unemployment']",half-true,true
2699,We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.,"['need', 'pas', 'carbon', 'tax', 'stop', 'climate', 'change', 'break', 'wall', 'street', 'bank', 'stop', 'government', 'spying', 'innocent', 'american', 'cory', 'booker', 'doesnt', 'support', 'idea']",half-true,true
2700,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.","['say', 'serving', 'city', 'council', 'rachel', 'zenzinger', 'voted', 'use', 'tax', 'dollar', 'taxpayer', 'funded', 'junket', 'china']",pants-fire,false
2701,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.","['governor', 'trying', 'credit', 'recent', 'action', 'taken', 'company', 'problem', 'company', 'decision', 'stay', 'new', 'jersey', 'happened', 'chris', 'christie', 'governor']",mostly-true,true
2702,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,"['property', 'tax', 'went', 'largely', 'technical', 'college', 'portion', 'went', 'money', 'state']",true,true
2703,"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch.","['say', 'million', 'texan', 'jobless', 'state', 'highest', 'unemployment', 'rate', 'year', 'joblessness', 'doubled', 'rick', 'perry', 'watch']",half-true,true
2704,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.","['asked', 'million', 'earmark', 'pork', 'barrel', 'spending', 'nearly', 'million', 'dollar', 'day', 'he', 'united', 'state', 'senate']",mostly-true,true
2705,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""","['canada', 'spill', 'water', 'practice', 'event', 'happen', 'allowed', 'united', 'state']",mostly-true,true
2706,"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.","['lot', 'study', 'indicate', 'minor', 'easy', 'marijuana', 'easier', 'alcohol']",false,false
2707,"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states.","['geography', 'poverty', 'changed', 'fundamentally', 'year', 'concentrated', 'fragile', 'conflict', 'state']",mostly-true,true
2708,"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.","['russia', 'tremendous', 'number', 'nuclear', 'warhead', 'way', 'expanded', 'didnt']",half-true,true
2709,"For every dollar we invest in Head Start, we get $5 to $7 back into our economy.","['dollar', 'invest', 'head', 'start', 'economy']",mostly-true,true
2710,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,"['say', 'president', 'obamas', 'decision', 'issue', 'permit', 'keystone', 'xl', 'pipeline', 'meant', 'denied', 'ability', 'immediately', 'reduce', 'price', 'pump']",false,false
2711,Says she is the subject of 60 books.,"['say', 'subject', 'book']",true,true
2712,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,"['seven', 'state', 'lowest', 'unemployment', 'rate', 'republican', 'governor', 'approach', 'republican', 'using', 'working']",half-true,true
2713,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.","['writing', 'book', 'gov', 'perry', 'pointed', 'measure', 'social', 'security', 'failure']",true,true
2714,The stimulus created zero jobs.,"['stimulus', 'created', 'zero', 'job']",pants-fire,false
2715,The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.,"['health', 'care', 'law', 'reduces', 'number', 'uninsured', 'america', 'percent', 'money', 'trillion']",false,false
2716,We import more oil today than ever before.,"['import', 'oil', 'today']",false,false
2717,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.","['hurd', 'tends', 'percent', 'straight', 'republican', 'straight', 'party', 'voting', 'record']",true,true
2718,Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.,"['say', 'chris', 'christie', 'vetoed', 'planned', 'parenthood', 'funding', 'time', 'course', 'governorship']",mostly-true,true
2719,Greece is not a big economy. Its about the size of metropolitan Miami.,"['greece', 'big', 'economy', 'size', 'metropolitan', 'miami']",true,true
2720,Ive cut the budget of the (lieutenant governors) office by more than half.,"['ive', 'cut', 'budget', 'lieutenant', 'governor', 'office', 'half']",mostly-true,true
2721,Forty cents of every dollar being spent by the federal government is being borrowed from my children.,"['cent', 'dollar', 'spent', 'federal', 'government', 'borrowed', 'child']",true,true
2722,Cigarette butts poison babies and small children because of the nicotine in them.,"['cigarette', 'butt', 'poison', 'baby', 'small', 'child', 'nicotine']",true,true
2723,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.","['thing', 'immediately', 'bring', 'warrior', 'class', 'petraeus', 'mcchrystal', 'mattis', 'keane', 'flynn', 'retired', 'early', 'told', 'president', 'obama', 'thing', 'didnt', 'want', 'hear']",barely-true,false
2724,"Says under his budget-repair bill, collective bargaining is fully intact.","['say', 'budget', 'repair', 'collective', 'bargaining', 'fully', 'intact']",pants-fire,false
2725,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.","['took', 'office', 'new', 'private', 'sector', 'job', 'created', 'georgia', 'nearly', 'coming', 'past', 'month']",true,true
2726,And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...,"['going', 'difficult', 'long', 'spending', 'million', 'day', 'war', 'authorized']",mostly-true,true
2727,"Today in Selma, Ala., the poverty rate is roughly nine times that of whites.","['today', 'selma', 'ala', 'poverty', 'rate', 'roughly', 'time', 'white']",half-true,true
2728,Says President Obama was proposing pinprick strikes for military intervention in Syria.,"['say', 'president', 'obama', 'proposing', 'pinprick', 'strike', 'military', 'intervention', 'syria']",false,false
2729,Says there are no political prisoners in Cuba.,"['say', 'political', 'prisoner', 'cuba']",false,false
2730,Says Illinois Democrat David Gill would end Medicare.,"['say', 'illinois', 'democrat', 'david', 'gill', 'end', 'medicare']",pants-fire,false
2731,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.","['said', 'leave', 'residual', 'force', 'iraq', 'say']",true,true
2732,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,"['say', 'year', 'graduation', 'rate', 'combined', 'district', 'footprint', 'jumped', 'percent']",half-true,true
2733,"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'","['president', 'obama', 'director', 'national', 'intelligence', 'admiral', 'blair', 'way', 'high', 'value', 'information', 'came', 'interrogation', 'method', 'used', 'provided', 'deeper', 'understanding', 'al', 'qaida', 'organization', 'attacking', 'country']",mostly-true,true
2734,"When he (Donald Trump) asked Florida to have casino gambling, we said no.","['donald', 'trump', 'asked', 'florida', 'casino', 'gambling', 'said']",mostly-true,true
2735,Milwaukee police use deadly force at a rate that is among the lowest in the country.,"['milwaukee', 'police', 'use', 'deadly', 'force', 'rate', 'lowest', 'country']",half-true,true
2736,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.","['sen', 'edward', 'ran', 'universal', 'health', 'care', 'glad']",true,true
2737,Says Barbara Buono voted to raise her own pay 40 percent.,"['say', 'barbara', 'buono', 'voted', 'raise', 'pay', 'percent']",mostly-true,true
2738,Says Texas has the most uninsured people of any state -- 6 million.,"['say', 'texas', 'uninsured', 'people', 'state', 'million']",barely-true,false
2739,Ill be running against a career politician.,"['ill', 'running', 'career', 'politician']",mostly-true,true
2740,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,"['say', 'multnomah', 'county', 'library', 'open', 'hour', 'week', 'lowest', 'library', 'county', 'region']",true,true
2741,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,"['say', 'mike', 'huckabee', 'appeared', 'diabetes', 'infomercial', 'endorse', 'cure', 'treatment', 'health', 'agency', 'support']",true,true
2742,"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.","['say', 'epa', 'regulation', 'greenhouse', 'gas', 'endanger', 'texas', 'dairy', 'facility', 'swine', 'operation', 'corn', 'farm', 'beef', 'cattle', 'operation']",false,false
2743,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,"['facebook', 'unveiled', 'new', 'rule', 'stop', 'user', 'creatingposts', 'related', 'way', 'religion']",pants-fire,false
2744,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.","['democrat', 'sly', 'new', 'hampshire', 'day', 'voter', 'registration', 'honest', 'massachusetts', 'election', 'close', 'theyre', 'busing', 'place']",pants-fire,false
2745,California has added twice as many jobs as Florida over the past year.,"['california', 'added', 'twice', 'job', 'florida', 'past', 'year']",half-true,true
2746,"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.","['past', 'year', 'congress', 'ive', 'written', 'bill', 'passed', 'amendment', 'floor', 'house', 'enacted', 'bill', 'law', 'member', 'house']",mostly-true,true
2747,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.","['say', 'travis', 'county', 'commissioner', 'gerald', 'daugherty', 'claim', 'taken', 'pay', 'cut', 'voted', 'raise', 'salary', 'percent']",barely-true,false
2748,"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.","['employment', 'non', 'discrimination', 'act', 'discriminates', 'christian', 'daycare', 'christian', 'parent', 'christian', 'business', 'owner', 'right', 'religious', 'freedom']",false,false
2749,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.","['support', 'bush', 'tax', 'cut', 'sen', 'mccain', 'voted', 'originally', 'belief', 'permanent', 'glad', 'agrees', 'permanent']",true,true
2750,Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.,"['iran', 'defense', 'budget', 'billion', 'defense', 'budget', 'closer', 'billion']",mostly-true,true
2751,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,"['brookhaven', 'homeowner', 'pay', 'hundred', 'dollar', 'property', 'tax', 'compared', 'owner', 'value', 'home', 'unincorporated', 'dekalb', 'county']",half-true,true
2752,The mosquito population in South Florida is larger than it is in many other communities in the country.,"['mosquito', 'population', 'south', 'florida', 'larger', 'community', 'country']",true,true
2753,Says health insurance premiums will rise under Obamacare.,"['say', 'health', 'insurance', 'premium', 'rise', 'obamacare']",half-true,true
2754,"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country.","['say', 'erv', 'nelson', 'voted', 'yes', 'pro', 'amnesty', 'sjr', 'urgingcongress', 'provide', 'citizenship', 'residing', 'illegally', 'country']",mostly-true,true
2755,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.,"['virginia', 'number', 'state', 'caput', 'screening', 'people', 'mental', 'illness', 'gun', 'purchase']",mostly-true,true
2756,Missouri is the state with the lowest paid workers.,"['missouri', 'state', 'lowest', 'paid', 'worker']",half-true,true
2757,"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates.","['average', 'student', 'loan', 'debt', 'texas', 'cost', 'average', 'size', 'pickup', 'truck', 'unlike', 'car', 'owner', 'student', 'allowed', 'refinance', 'loan', 'lower', 'rate']",mostly-true,true
2758,Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,"['say', 'rick', 'scott', 'proposal', 'election', 'reform', 'mandate', 'hour', 'early', 'voting']",mostly-true,true
2759,On whether the state should ramp up borrowing to build roads.,"['state', 'ramp', 'borrowing', 'build', 'road']",half-true,true
2760,People think AIDS is done --its not done.,"['people', 'think', 'aid']",mostly-true,true
